10,15,3,8000
21,10,15,3
33,16,3,8000
1,19,53,15
33,16,1,45
10,38,3,8000
6,86,3,8000
2,48,21,10
1,19,21,15
21,10,38,3
41,94,67,136
16,6,86,1
69,16,3,8000
21,15,3,8000
7999,7999,3,8000
21,10,22,46
1,2,48,21
8,193,144,340
41,94,3,8000
2,41,94,67
16,1,45,18
138,6,86,3
53,15,3,8000
53,10,15,1
1,19,44,21
1,14,401,1
138,6,86,1
7,242,3,8000
68,8,193,144
1,21,10,2
7999,3,19,8000
48,21,10,22
2,51,3,8000
16,6,86,3
1,44,21,10
10,15,1,2
10,101,3,8000
7998,7,570,1
7998,2,48,21
82,21,10,22
33,16,29,18
21,10,15,1
2,7999,3,8000
54,203,3,8000
18,187,69,16
1,18,496,16
1,19,53,38
1,19,53,10
1,21,10,22
1,53,10,15
7998,44,21,10
6,54,203,3
75,66,3,8000
21,10,22,36
598,117,717,12
2,48,3,8000
50,54,3,8000
1,19,44,53
1,44,53,10
1,41,94,1
48,21,10,15
7,41,94,3
4,2,48,12
23,2,41,94
18,496,16,61
19,44,21,15
15,3,19,8000
1,19,99,53
1,348,11,7
7999,1,7999,1
6,86,1,45
26,2,365,4
26,2,281,133
44,21,10,15
20,190,9,5
21,10,101,3
21,10,22,57
53,38,3,8000
90,590,3,8000
67,136,650,66
2,128,123,12
94,67,136,650
18,232,33,16
1,19,21,38
1,52,15,36
10,11,5,7999
7998,17,22,12
7998,26,2,281
35,190,9,5
746,9,3,8000
44,53,10,15
7,126,3,8000
7,41,94,67
7,2,51,3
103,21,10,22
1525,4,41,1307
21,10,22,620
53,10,15,3
86,1,45,18
2,365,4,2
2,281,133,1
2,1110,4,2
58,42,746,9
11,5,213,29
1,251,5,2
10,15,5,34
187,69,16,4
7998,17,100,334
7998,463,21,10
7998,22,21,10
7998,494,58,42
7999,1,1169,1
17,89,451,10
6,7999,3,8000
6,54,270,3
252,10,15,3
156,4,41,464
463,21,10,2
503,513,383,236
14,2,85,133
44,252,10,15
44,21,15,3
20,552,9,5
22,3,19,8000
96,54,3,8000
33,16,6,54
42,746,9,3
21,10,22,20
372,172,3,8000
494,58,42,746
2,503,513,383
2,85,909,172
2,923,3,8000
2,262,21,10
50,184,3,8000
1393,10,11,5
54,270,3,8000
18,250,33,16
18,1031,33,16
18,536,33,16
18,456,33,16
18,264,33,16
24,7,603,5
24,7,242,3
19,44,53,15
19,53,15,6
19,53,10,15
19,99,53,15
9,38,3,8000
16,88,3,8000
1,18,1033,16
1,9,773,10
1,7999,1,7999
1,8,2,7999
1,27,212,27
1,44,252,10
1,68,8,193
1,53,10,38
1,2,617,135
1,231,68,4
1,52,15,20
1,52,15,31
10,11,5,119
10,38,5,34
7998,17,89,451
7998,7,177,1
7998,7,242,1
7998,22,360,20
7998,110,308,1
7999,15,3,8000
7999,1,19,44
6,86,1,326
6,86,1,29
6,54,270,1
1592,45,1644,1852
39,337,7,2
34,688,32,5
69,16,29,18
25,2,365,4
193,144,340,1
650,66,160,1
83,42,34,634
44,53,15,3
7,685,3,8000
7,603,3,8000
7,2,51,1
1313,579,9,18
33,90,3,8000
166,246,4,18
166,355,4,18
153,54,3,8000
4,41,1307,1
23,2,74,1460
311,9,5,241
21,38,3,8000
21,10,38,1
21,10,22,311
21,10,22,31
53,10,38,1
161,8,136,428
86,1,326,28
99,53,15,3
2,17,7999,19
2,170,3,8000
2,74,1460,1
333,10,11,5
58,1313,579,9
18,1580,69,16
18,602,16,402
18,232,16,6
18,1584,33,16
18,362,69,16
18,1033,16,8
18,1132,33,16
24,16,3,8000
117,695,3,8000
117,717,12,82
19,21,15,30
19,53,15,2
12,7999,3,8000
12,68,8,193
11,5,137,2
9,1592,45,1644
9,5,7999,6
9,5,40,6
16,402,3,8000
1,18,602,16
1,19,44,252
1,7999,1,18
1,6,303,4
1,39,378,26
1,693,1,579
1,1928,1,18
1,14,1475,1
1,299,3,8000
1,1744,1,18
1,4,1281,1
1,72,4,2
1,53,10,2
1,99,53,10
1,2,7999,7999
1,2,388,12
1,231,68,1
1,31,471,9
1,58,1313,579
93,126,88,49
3,93,126,88
10,15,1,17
10,22,620,9
1582,138,3,8000
235,24,3,8000
7998,17,81,108
7998,17,95,12
7998,17,95,20
7998,6,276,14
7998,27,6,519
7998,14,401,1
7998,14,2,54
7998,7,41,94
7998,96,54,1
7998,71,4,2
7998,2,48,65
7998,2,216,1
7998,315,9,1592
7999,9,25,2
7999,1,18,496
7999,1,39,378
7999,1,1334,1
7999,1,52,15
6,672,4,2
6,86,1,6
6,276,14,2
6,54,203,1
1138,11,26,11
39,1310,3,8000
8,1249,373,61
8,6,672,4
35,490,9,26
27,6,519,1
27,212,27,2
26,84,3,8000
26,2,416,4
193,181,340,1
125,21,10,22
163,90,3,8000
1428,5,50,690
136,650,66,160
190,9,5,34
1299,1565,3,8000
85,909,172,4
14,616,3,8000
14,62,197,1134
29,6,54,203
115,196,21,10
7,7999,3,8000
7,570,1,2
7,39,1310,3
7,571,3,8000
7,41,94,1
7,41,94,8
7,177,3,8000
7,242,1,2
7,2,923,3
7,2,2193,4
206,111,1719,82
22,620,9,5
22,311,9,5
126,88,49,8000
712,727,8,2059
712,727,8,2186
715,12,21,10
4,234,3,8000
4,7999,3,8000
4,2,7999,4
4,2,256,1
4,2,388,12
4,66,3,8000
23,2,280,264
45,1644,1852,1
672,4,2,256
280,264,3,8000
21,10,44,57
21,10,22,800
21,10,2,48
124,10,15,1
124,10,15,3
53,10,22,20
86,1,6,54
99,53,10,15
276,21,10,15
2,7999,4,2
2,875,3,8000
2,151,3,8000
2,389,424,4
2,280,264,3
2,67,59,12
2,305,3,8000
50,690,3,8000
133,10,11,5
5,7999,3,8000
5,50,690,3
681,11,23,2
66,23,2,41
231,68,8,193
315,9,1592,45
57,176,9,5
18,2717,16,6
18,187,33,16
18,602,16,8
18,2220,16,8
18,1865,16,61
18,2739,69,16
18,199,69,16
18,1400,33,16
18,860,33,16
18,569,33,16
18,235,16,6
18,687,33,16
18,790,33,16
24,1632,26,1341
24,29,6,54
24,21,10,47
24,1380,175,265
24,2,249,192
117,717,12,2748
19,44,21,38
19,44,53,38
19,21,38,30
19,53,38,7999
19,53,10,38
12,1034,11,5
11,11,5,137
11,7,7999,1
11,23,2,238
11,5,188,56
11,5,119,15
11,5,119,38
9,18,496,16
9,25,2,48
9,773,10,44
9,5,7999,2
9,5,34,7999
9,5,34,2
9,5,616,23
9,5,241,18
9,5,241,2
9,5,1535,26
9,5,173,6
360,20,42,873
15,5,34,2805
38,3,19,8000
16,88,1,45
16,6,86,7
16,6,54,270
16,1139,403,255
16,8,1249,373
16,8,1811,373
16,7,237,8
16,96,54,3
1,19,6,7999
1,10,15,5
1,7999,3,88
1,7999,7999,1
1,7999,8,7999
1,6,7999,1
1,6,41,94
1,6,231,68
1,251,5,39
1,271,21,10
1,8,6,672
1,8,37,68
1,26,468,7
1,43,22,20
1,43,47,40
1,326,28,18
1,326,28,6
1,959,5,6
1,168,29,18
1,579,9,18
1,1169,1,18
1,115,196,21
1,7,41,94
1,984,11,27
1,1493,297,4
1,3171,3,8000
1,3203,3,8000
1,1499,1,18
1,41,94,3
1,23,1008,4
1,23,2,74
1,68,4,2
1,490,11,26
1,21,15,7
1,21,1,17
1,21,10,44
1,596,809,1
1,53,10,101
1,71,4,2
1,2170,490,11
1,2,41,94
1,2,262,21
1,47,959,5
1,231,162,4
1,52,15,35
1,52,15,63
49,18,187,69
93,681,11,23
10,11,5,188
10,11,5,204
10,11,5,260
10,22,311,9
10,2,128,123
10,2,48,12
10,47,46,188
10,100,731,661
2717,16,6,86
187,69,16,7
232,16,6,1150
250,33,16,3
1031,33,16,7
941,24,4,2
199,1,263,1
235,16,6,86
2750,24,7,603
61,282,421,24
7998,49,18,187
7998,17,89,787
7998,17,22,36
7998,17,22,20
7998,17,50,20
7998,17,100,40
7998,17,108,731
7998,65,1,30
7998,271,21,10
7998,156,4,41
7998,14,266,263
7998,44,53,10
7998,509,35,15
7998,7,571,1
7998,7,650,66
7998,7,177,233
7998,7,2,85
7998,7,2,369
7998,1191,1,2
7998,30,1841,2362
7998,598,117,717
7998,2,128,123
7998,2,503,513
7998,2,771,248
7998,2,563,453
7998,2,262,21
7998,2,639,151
7998,95,20,18
7998,95,20,98
7999,117,695,3
7999,11,25,2
7999,15,1,2
7999,1,19,53
7999,1,7999,8
7999,1,1725,1
7999,1,231,68
7999,7999,1,19
7999,7999,7999,1
7999,695,3,93
7999,707,3,8000
17,6,1081,4
17,6,2200,2138
17,1272,1615,19
17,2406,1993,19
17,108,731,661
6,18,602,16
6,1150,3,8000
6,297,4,50
6,309,87,270
6,508,653,4
6,1181,529,3
6,355,4,18
6,224,4,7999
6,201,11,5
6,1100,607,235
6,288,11,5
6,86,1,7
6,86,1,23
6,86,1,76
6,1123,166,355
6,333,10,11
6,2200,2138,1419
1876,2109,3,8000
252,15,3,8000
642,11,5,1135
1139,403,255,14
154,726,117,1829
39,642,11,5
39,644,211,4
39,1144,11,5
39,1062,11,5
378,21,10,15
271,21,10,2
8,2214,373,61
8,193,181,340
8,193,407,340
8,37,68,1
8,1811,373,61
644,211,4,18
379,278,14,2
422,9,25,2
690,510,4,2
27,212,27,6
348,11,7,7999
34,321,32,11
317,14,508,1747
278,14,2,144
69,16,96,54
69,179,93,18
69,179,3,8000
69,179,6,54
175,35,490,9
1043,2,417,4
162,8,193,144
238,123,4,150
193,144,3,8000
193,144,340,3
193,407,340,1
350,160,26,18
695,3,93,126
125,1,6,7999
617,135,21,10
427,180,3,8000
163,90,590,3
48,1,52,38
48,21,10,2
650,66,3,8000
650,66,23,2
959,5,1300,13
189,10,11,5
200,1050,3,8000
575,9,5,616
1644,1852,1,47
119,42,451,10
119,42,419,9
194,42,40,2
434,1011,199,3
136,650,66,3
144,340,1,21
144,340,3,8000
144,231,68,1
144,231,68,8
484,611,3,8000
579,9,18,496
266,263,3,8000
1989,4,2,3192
621,8,576,323
14,508,1747,1329
14,2,7999,1
14,2,7999,3
14,2,144,489
14,2,54,1
622,4,75,66
29,2750,24,7
29,2,51,3
148,11,5,213
36,21,10,44
44,575,9,5
44,21,38,3
44,21,10,38
44,21,10,2
44,53,38,3
2008,1,1470,1
205,8,988,368
485,48,3,8000
510,4,2,875
7,1243,3,8000
7,376,3,8000
7,234,3,8000
7,7999,4,2
7,570,5,2
7,571,1,2
7,238,3,8000
7,650,66,23
7,983,3,8000
7,177,233,1
7,589,9,5
7,149,87,1
7,2124,5,2
7,2,233,390
7,2,7999,1
7,2,7999,4
7,2,696,372
7,2,85,909
7,2,59,1
7,2,224,4
665,7,2,51
20,72,4,2
20,21,9,5
20,566,9,5
22,360,20,42
37,7999,3,8000
109,665,7,2
551,5,1876,2109
1181,529,3,8000
2496,117,2475,161
33,16,1,8
33,16,93,18
33,16,88,1
33,16,1139,403
33,16,14,2
33,16,7,2
33,163,90,590
33,2167,3051,4
3191,4,66,3
1736,54,3,8000
249,192,3,8000
172,61,282,421
169,784,53,10
42,419,9,5
41,48,3,8000
824,8,30,1223
98,288,11,5
4,7999,1,1169
4,56,60,18
4,41,94,1
4,75,66,3
4,2,48,3
4,2,875,3
4,2,433,3
4,2,907,682
4,2,3192,772
4,2,41,48
4,2,68,12
340,1,21,10
196,21,10,47
23,140,704,4
23,1008,4,18
23,2,128,123
23,2,238,123
23,304,269,1
717,12,2748,129
68,8,193,181
68,8,193,407
68,4,2,48
490,11,26,2760
490,11,25,6
490,9,26,1341
75,66,3,19
771,248,130,228
345,434,1011,199
1780,9,26,18
1100,607,235,24
1100,325,235,24
1207,323,3,8000
149,172,3,8000
288,11,5,1520
520,201,3,8000
280,264,524,141
21,9,5,34
21,10,30,990
21,10,2,946
21,10,47,40
21,10,47,57
124,10,38,1
53,10,15,30
928,205,8,988
840,742,130,201
161,878,3,8000
722,651,3,8000
1107,9,5,34
1531,9,5,34
1011,199,3,8000
